id,nombre,color,url
4,Express de Santiago Uno S.A.,#F7941D,http://www.transantiago.cl/es/empresas/express.html
9,Omega US2,#cf152d,https://www.dtpm.cl/index.php/sistema-transporte-publico-santiago/buses
12,STU US5,#cf152d,https://www.dtpm.cl/index.php/sistema-transporte-publico-santiago/buses
10,STU US3,#cf152d,https://www.dtpm.cl/index.php/sistema-transporte-publico-santiago/buses
8,Alfa US1,#CF152D,https://www.dtpm.cl/index.php/sistema-transporte-publico-santiago/buses
6,Redbus Urbano S.A.,#ED1C24,http://www.transantiago.cl/es/empresas/redbus.html
4,Express de Santiago Uno S.A.,#F7941D,http://www.transantiago.cl/es/empresas/express.html
12,STU US5,#cf152d,https://www.dtpm.cl/index.php/sistema-transporte-publico-santiago/buses
12,STU US5,#cf152d,https://www.dtpm.cl/index.php/sistema-transporte-publico-santiago/buses
4,Express de Santiago Uno S.A.,#F7941D,http://www.transantiago.cl/es/empresas/express.html
1,Inversiones Alsacia S.A.,#00A1E4,http://www.transantiago.cl/es/empresas/alsacia.html
1,Inversiones Alsacia S.A.,#00A1E4,http://www.transantiago.cl/es/empresas/alsacia.html
1,Inversiones Alsacia S.A.,#00A1E4,http://www.transantiago.cl/es/empresas/alsacia.html
1,Inversiones Alsacia S.A.,#00A1E4,http://www.transantiago.cl/es/empresas/alsacia.html
3,Buses Vule S.A.,#00A77E,http://www.transantiago.cl/es/empresas/vule.html
3,Buses Vule S.A.,#00A77E,http://www.transantiago.cl/es/empresas/vule.html
1,Inversiones Alsacia S.A.,#00A1E4,http://www.transantiago.cl/es/empresas/alsacia.html
3,Buses Vule S.A.,#00A77E,http://www.transantiago.cl/es/empresas/vule.html
10,STU US3,#cf152d,https://www.dtpm.cl/index.php/sistema-transporte-publico-santiago/buses
1,Inversiones Alsacia S.A.,#00A1E4,http://www.transantiago.cl/es/empresas/alsacia.html
