tipoDia,inicio,fin
Lunes a Viernes,05:00,23:30
Domingo y Festivos,05:30,23:30
Domingo y Festivos,05:30,23:30
Sábado,05:30,23:30
Sábado,05:30,23:30
Lunes a Viernes,05:00,23:30
Sábado,05:30,00:30
Lunes a Viernes,05:30,00:30
Domingo y Festivos,05:30,00:30
Domingo y Festivos,05:30,00:30
Sábado,05:30,00:30
Lunes a Viernes,05:30,00:30
Domingo y Festivos,00:00,23:59
Sábado,00:00,23:59
Lunes a Viernes,00:00,23:59
Lunes a Viernes,05:00,23:40
Sábado,05:00,23:40
Domingo y Festivos,05:30,23:40
Lunes a Viernes,05:30,09:25
Lunes a Viernes,05:30,09:25
Lunes a Viernes,16:30,20:45
Lunes a Viernes,16:30,20:45
Sábado,05:30,23:30
Lunes a Viernes,05:30,23:30
Domingo y Festivos,05:30,23:30
Sábado,05:30,23:30
Lunes a Viernes,05:30,23:30
Domingo y Festivos,05:30,23:30
Lunes a Viernes,00:00,23:59
Sábado,00:00,23:59
Domingo y Festivos,00:00,23:59
Lunes a Viernes,06:30,07:51
Lunes a Viernes,17:30,19:45
Domingo y Festivos,05:30,23:30
Sábado,05:30,23:30
Sábado,05:30,23:30
Domingo y Festivos,05:30,23:30
Lunes a Viernes,05:30,23:30
Lunes a Viernes,05:30,23:30
Domingo y Festivos,05:30,23:43
Domingo y Festivos,05:30,23:43
Sábado,05:30,23:43
Lunes a Viernes,05:30,23:44
Sábado,05:30,23:43
Lunes a Viernes,05:30,23:44
Domingo y Festivos,00:15,05:15
Sábado,00:15,05:15
Sábado,00:15,05:15
Lunes a Viernes,00:15,05:15
Domingo y Festivos,00:15,05:15
Lunes a Viernes,00:15,05:15
Sábado,05:30,23:40
Domingo y Festivos,05:30,23:40
Lunes a Viernes,05:30,23:40
Sábado,06:30,19:15
Domingo y Festivos,09:40,20:44
Lunes a Viernes,05:30,21:20
Domingo y Festivos,06:31,22:41
Sábado,05:31,22:43
Lunes a Viernes,05:02,22:48
Sábado,06:30,23:45
Lunes a Viernes,06:30,23:45
Domingo y Festivos,07:00,23:45
Lunes a Viernes,06:30,08:18
Lunes a Viernes,18:30,20:10
Lunes a Viernes,18:30,20:10
Lunes a Viernes,06:30,08:18
Lunes a Viernes,17:30,21:25
Domingo y Festivos,05:30,23:30
Lunes a Viernes,05:30,22:40
Sábado,05:30,22:40
Domingo y Festivos,06:13,23:30
Lunes a Viernes,06:30,23:32
Sábado,06:20,23:32
Sábado,06:25,00:20
Lunes a Viernes,06:25,00:20
Domingo y Festivos,06:25,00:20
Sábado,05:30,23:30
Domingo y Festivos,05:30,23:30
Sábado,05:30,23:30
Domingo y Festivos,05:30,23:30
Domingo y Festivos,05:30,23:30
Sábado,05:30,23:30
Lunes a Viernes,05:30,23:30
Lunes a Viernes,05:30,23:30
Lunes a Viernes,05:30,23:30
Lunes a Viernes,17:30,22:00
Lunes a Viernes,06:15,10:10
